"rules","support","confidence","coverage","lift","count"
"275","{uniformityCellSize=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.244813278008299,1,0.244813278008299,2,118
"289","{uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"290","{uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"309","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.412863070539419,1,0.412863070539419,2,199
"310","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.412863070539419,1,0.412863070539419,2,199
"315","{clumpThickness=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.404564315352697,1,0.404564315352697,2,195
"316","{singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.404564315352697,1,0.404564315352697,2,195
"318","{clumpThickness=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"349","{uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.437759336099585,1,0.437759336099585,2,211
"351","{uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.433609958506224,1,0.433609958506224,2,209
"353","{clumpThickness=Normal,uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.429460580912863,1,0.429460580912863,2,207
"383","{clumpThickness=Normal,uniformityCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.441908713692946,1,0.441908713692946,2,213
"419","{uniformityCellSize=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.205394190871369,1,0.205394190871369,2,99
"433","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.224066390041494,1,0.224066390041494,2,108
"434","{uniformityCellSize=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.226141078838174,1,0.226141078838174,2,109
"438","{uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"439","{uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"443","{uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.396265560165975,1,0.396265560165975,2,191
"444","{clumpThickness=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.392116182572614,1,0.392116182572614,2,189
"445","{uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.392116182572614,1,0.392116182572614,2,189
"446","{uniformityCellShape=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"447","{clumpThickness=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.390041493775934,1,0.390041493775934,2,188
"448","{uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.392116182572614,1,0.392116182572614,2,189
"449","{uniformityCellShape=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"473","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.406639004149378,1,0.406639004149378,2,196
"474","{clumpThickness=Normal,uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"475","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"476","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.412863070539419,1,0.412863070539419,2,199
"477","{clumpThickness=Normal,uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.400414937759336,1,0.400414937759336,2,193
"478","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"479","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.412863070539419,1,0.412863070539419,2,199
"483","{clumpThickness=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.398340248962656,1,0.398340248962656,2,192
"484","{singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.398340248962656,1,0.398340248962656,2,192
"486","{clumpThickness=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.394190871369295,1,0.394190871369295,2,190
"487","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.404564315352697,1,0.404564315352697,2,195
"488","{marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.404564315352697,1,0.404564315352697,2,195
"489","{clumpThickness=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.392116182572614,1,0.392116182572614,2,189
"490","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.402489626556017,1,0.402489626556017,2,194
"508","{uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.437759336099585,1,0.437759336099585,2,211
"510","{uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.433609958506224,1,0.433609958506224,2,209
"512","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.429460580912863,1,0.429460580912863,2,207
"518","{clumpThickness=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.425311203319502,1,0.425311203319502,2,205
"519","{uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.425311203319502,1,0.425311203319502,2,205
"520","{uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.435684647302905,1,0.435684647302905,2,210
"521","{clumpThickness=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.421161825726141,1,0.421161825726141,2,203
"523","{uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.431535269709544,1,0.431535269709544,2,208
"524","{clumpThickness=Normal,uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.41701244813278,1,0.41701244813278,2,201
"525","{clumpThickness=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.427385892116183,1,0.427385892116183,2,206
"543","{clumpThickness=Normal,uniformityCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.437759336099585,1,0.437759336099585,2,211
"544","{uniformityCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.437759336099585,1,0.437759336099585,2,211
"545","{uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.448132780082988,1,0.448132780082988,2,216
"546","{clumpThickness=Normal,uniformityCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.433609958506224,1,0.433609958506224,2,209
"549","{clumpThickness=Normal,uniformityCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.429460580912863,1,0.429460580912863,2,207
"550","{clumpThickness=Normal,uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.439834024896266,1,0.439834024896266,2,212
"385","{uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.454356846473029,0.995454545454545,0.45643153526971,1.99090909090909,219
"379","{uniformityCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.450207468879668,0.995412844036697,0.452282157676349,1.99082568807339,217
"174","{uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.446058091286307,0.99537037037037,0.448132780082988,1.99074074074074,215
"344","{uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.446058091286307,0.99537037037037,0.448132780082988,1.99074074074074,215
"380","{clumpThickness=Normal,uniformityCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.446058091286307,0.99537037037037,0.448132780082988,1.99074074074074,215
"381","{uniformityCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.446058091286307,0.99537037037037,0.448132780082988,1.99074074074074,215
"175","{uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"345","{uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"352","{uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"384","{uniformityCellSize=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"511","{uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"547","{clumpThickness=Normal,uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"548","{uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.443983402489627,0.995348837209302,0.446058091286307,1.9906976744186,214
"355","{uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.441908713692946,0.995327102803738,0.443983402489627,1.99065420560748,213
"396","{clumpThickness=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.441908713692946,0.995327102803738,0.443983402489627,1.99065420560748,213
"514","{uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal} => {class=Benigno}",0.441908713692946,0.995327102803738,0.443983402489627,1.99065420560748,213
"551","{uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.441908713692946,0.995327102803738,0.443983402489627,1.99065420560748,213
"389","{clumpThickness=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.439834024896266,0.995305164319249,0.441908713692946,1.9906103286385,212
"390","{bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.439834024896266,0.995305164319249,0.441908713692946,1.9906103286385,212
"552","{clumpThickness=Normal,uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.437759336099585,0.995283018867924,0.439834024896266,1.99056603773585,211
"554","{clumpThickness=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.437759336099585,0.995283018867924,0.439834024896266,1.99056603773585,211
"555","{marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.437759336099585,0.995283018867924,0.439834024896266,1.99056603773585,211
"350","{clumpThickness=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.433609958506224,0.995238095238095,0.435684647302905,1.99047619047619,209
"509","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.433609958506224,0.995238095238095,0.435684647302905,1.99047619047619,209
"354","{uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.431535269709544,0.995215311004785,0.433609958506224,1.99043062200957,208
"513","{uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.431535269709544,0.995215311004785,0.433609958506224,1.99043062200957,208
"522","{clumpThickness=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.431535269709544,0.995215311004785,0.433609958506224,1.99043062200957,208
"526","{uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.429460580912863,0.995192307692308,0.431535269709544,1.99038461538462,207
"557","{clumpThickness=Normal,marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.429460580912863,0.995192307692308,0.431535269709544,1.99038461538462,207
"356","{clumpThickness=Normal,uniformityCellShape=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.427385892116183,0.995169082125604,0.429460580912863,1.99033816425121,206
"515","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.427385892116183,0.995169082125604,0.429460580912863,1.99033816425121,206
"553","{clumpThickness=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.427385892116183,0.995169082125604,0.429460580912863,1.99033816425121,206
"527","{clumpThickness=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.425311203319502,0.995145631067961,0.427385892116183,1.99029126213592,205
"152","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.419087136929461,0.995073891625616,0.421161825726141,1.99014778325123,202
"313","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.419087136929461,0.995073891625616,0.421161825726141,1.99014778325123,202
"329","{uniformityCellSize=Normal,singleEpithCellSize=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.41701244813278,0.995049504950495,0.419087136929461,1.99009900990099,201
"338","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.41701244813278,0.995049504950495,0.419087136929461,1.99009900990099,201
"501","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.41701244813278,0.995049504950495,0.419087136929461,1.99009900990099,201
"153","{singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.4149377593361,0.995024875621891,0.41701244813278,1.99004975124378,200
"317","{marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.4149377593361,0.995024875621891,0.41701244813278,1.99004975124378,200
"328","{clumpThickness=Normal,uniformityCellSize=Normal,singleEpithCellSize=Normal,normalNucleoli=Normal} => {class=Benigno}",0.4149377593361,0.995024875621891,0.41701244813278,1.99004975124378,200
"500","{clumpThickness=Normal,uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,normalNucleoli=Normal} => {class=Benigno}",0.4149377593361,0.995024875621891,0.41701244813278,1.99004975124378,200
"497","{clumpThickness=Normal,uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.412863070539419,0.995,0.4149377593361,1.99,199
"498","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.412863070539419,0.995,0.4149377593361,1.99,199
"334","{clumpThickness=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.410788381742739,0.994974874371859,0.412863070539419,1.98994974874372,198
"504","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.410788381742739,0.994974874371859,0.412863070539419,1.98994974874372,198
"145","{uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"155","{clumpThickness=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"288","{uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"293","{uniformityCellShape=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"312","{uniformityCellSize=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"314","{singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"322","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"335","{singleEpithCellSize=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"442","{uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"482","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"485","{marginalAdhesion=Normal,singleEpithCellSize=Normal,bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
"505","{marginalAdhesion=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.408713692946058,0.994949494949495,0.410788381742739,1.98989898989899,197
